id,first_name,last_name,age_group,gender,urban_rural,marital_status,education,religion,party,canton
4154,Jean-Luc,Addor,50-59,m,urban,married,tertiary,protestant,SVP,VS
3867,Andreas,Aebi,60-69,m,rural,married,tertiary,protestant,SVP,BE
4090,Céline,Amaudruz,40-49,f,big_city,single,tertiary,protestant,SVP,GE
4180,Thomas,Ammann,50-59,m,rural,married,tertiary,catholic,CVP,SG
1135,Adrian,Amstutz,60-69,m,periurban,married,tertiary,protestant,SVP,BE
4155,Beat,Arnold,40-49,m,urban,married,tertiary,catholic,SVP,UR
305,Didier,Berberat,60-69,m,urban,married,tertiary,catholic,SP,NE
4209,Hans-Ulrich,Bigler,60-69,m,urban,married,tertiary,protestant,FDP-Liberale,ZH
4030,Prisca,Birrer-Heimo,60-69,f,urban,married,tertiary,catholic,SP,LU
3871,Pirmin,Bischof,60-69,m,urban,married,tertiary,catholic,CVP,SO
3831,Ivo,Bischofberger,60-69,m,rural,married,tertiary,catholic,CVP,AI
3872,Jacques,Bourgeois,60-69,m,periurban,married,tertiary,protestant,FDP-Liberale,FR
4067,Heinz,Brand,60-69,m,periurban,married,tertiary,protestant,SVP,GR
4230,Philipp Matthias,Bregy,40-49,m,urban,married,tertiary,catholic,CVPO,VS
823,Pascale,Bruderer Wyss,40-49,f,urban,married,tertiary,protestant,SP,AG
4215,Hansjörg,Brunner,50-59,m,urban,married,tertiary,protestant,FDP-Liberale,TG
4156,Michaël,Buffat,30-39,m,rural,married,tertiary,protestant,SVP,VD
4157,Manfred,Bühler,40-49,m,rural,single,tertiary,protestant,SVP,BE
4101,Christine,Bulliard-Marbach,50-59,f,rural,married,unknown,protestant,CVP,FR
4158,Thomas,Burgherr,50-59,m,rural,married,secondary,protestant,SVP,AG
4189,Thierry,Burkart,40-49,m,urban,single,tertiary,catholic,FDP-Liberale,AG
4200,Duri,Campell,50-59,m,rural,married,secondary,protestant,BDP,GR
4070,Martin,Candinas,30-39,m,urban,married,tertiary,catholic,CVP,GR
4217,Rocco,Cattaneo,60-69,m,periurban,married,tertiary,catholic,FDP-Liberale,TI
4159,Marco,Chiesa,40-49,m,big_city,married,tertiary,catholic,SVP,TI
1124,Dominique,de Buman,60-69,m,urban,single,tertiary,catholic,CVP,FR
4051,Thomas,de Courten,50-59,m,rural,divorced,tertiary,catholic,SVP,BL
4079,Fathi,Derder,40-49,m,urban,divorced,unknown,undenominational,FDP-Liberale,VD
4160,Marcel,Dettling,30-39,m,rural,married,secondary,catholic,SVP,SZ
4151,Josef,Dittli,60-69,m,urban,married,secondary,catholic,FDP-Liberale,UR
4190,Marcel,Dobler,30-39,m,urban,married,tertiary,undenominational,FDP-Liberale,SG
4068,Roland,Eberle,60-69,m,urban,married,tertiary,catholic,SVP,TG
